,blast,rmsd
74,5vp7_ligand_5,39.607284245451616
75,1ay0_ligand_8,54.89693820404351
76,1t4k_ligand_5,17.774773352167678
77,1r9m_ligand_3,35.51863528085343
78,4i15_ligand_3,49.36485156382949
79,2q9d_ligand_6,22.12613040954066
80,3hg3_ligand_6,24.63203376762487
81,4pm5_ligand_7,27.826262333749867
82,4ouf_ligand_4,45.50430937338119
83,5n10_ligand_9,20.311546389695213
84,3hfy_ligand_2,38.84604172297169
85,4rsd_ligand_3,21.986364291095075
86,1ere_ligand_7,94.91862329432992
87,1gow_ligand_9,6.484772432398844
88,5kof_ligand_5,21.019172360807488
89,6ofd_ligand_4,25.22883491959151
90,2b8e_ligand_8,27.510357944391988
91,6gog_ligand_8,44.62766352611348
92,2uxa_ligand_6,55.10607080989592
93,6jkb_ligand_7,53.64797587651428
94,1d09_ligand_4,18.458132081170238
95,4kib_ligand_4,62.87079109902043
96,1g3u_ligand_4,20.14845513879414
97,6gue_ligand_8,42.66084488181526
98,7bxv_ligand_9,39.11112671169851
99,2byy_ligand_8,77.93396108287239
100,3jvr_ligand_1,18.374128827723446
101,3b7j_ligand_2,52.11831480391514
102,6zsi_ligand_9,45.94825782653917
103,6yf0_ligand_3,21.43779092602311
104,5lg2_ligand_6,22.774694097513013
105,4lxz_ligand_3,68.51275417627132
106,2g5b_ligand_5,78.17167922115921
107,1lor_ligand_2,11.722855221389825
108,4yk0_ligand_5,26.39133793562308
109,6jkb_ligand_5,52.21716007946723
110,6t7u_ligand_2,27.58715302958567
111,5gzc_ligand_6,27.43735752523814
112,6pg4_ligand_9,23.227227236585943
113,1r9m_ligand_6,45.91830570542801
114,6iam_ligand_6,34.37589484411036
115,1nja_ligand_1,24.493795405441688
116,3u9u_ligand_3,136.58450425067707
117,2wo8_ligand_2,37.6797424262387
118,2je8_ligand_1,25.83641081024134
119,2bgr_ligand_4,59.87059429063892
120,2jle_ligand_2,68.6655435642319
121,3li1_ligand_1,39.315448928082546
122,4ewq_ligand_6,22.480803351335744
123,1vso_ligand_5,36.30876761483834
124,1jxk_ligand_8,25.0344514865823
125,7k2y_ligand_1,5.729639028769613
126,2mha_ligand_8,62.722535921907685
127,3iut_ligand_8,19.055585619969804
128,3lo5_ligand_2,30.494878854954948
129,1ngg_ligand_9,31.051292740203873
130,5uq1_ligand_2,9.836309877184634
131,5hdq_ligand_2,34.39666073232812
132,2eh8_ligand_4,29.67094397175459
133,5tcg_ligand_3,75.5196416390575
134,2r3t_ligand_6,18.235368886914802
135,3e6v_ligand_4,39.82522986960234
136,4ohd_ligand_3,17.110700382258717
137,4bbx_ligand_9,32.919226606720514
138,1fxx_ligand_6,71.61290921713532
139,3eyg_ligand_2,38.4971783457724
140,5i8a_ligand_2,30.016017820014508
141,7lzp_ligand_5,30.584049170745384
142,5hww_ligand_1,21.222175349653217
143,4eev_ligand_9,30.972319970356658
144,2a0f_ligand_9,25.300304534838222
145,3czv_ligand_1,15.833383379745467
146,1d9e_ligand_5,37.15245740324588
147,5khz_ligand_3,16.22053165898085
148,1hn4_ligand_2,26.47357638523741
149,1g3b_ligand_9,20.45418847846328
150,6mld_ligand_7,14.6185986925332
151,1lbc_ligand_4,51.270486387086486
152,3agl_ligand_5,65.49332143232694
153,6em7_ligand_3,21.049742490507256
154,4ydm_ligand_4,37.58351815697348
155,4tlt_ligand_1,6.205739791808577
156,4znb_ligand_7,27.37695254041253
157,6aa3_ligand_6,20.899488380899026
158,2f9o_ligand_4,27.939319033879887
159,2hzl_ligand_5,28.877693369334978
160,1ba2_ligand_7,60.69134408569785
161,7k41_ligand_9,27.909595844440314
162,2br7_ligand_3,33.827202857870176
163,1dxp_ligand_5,40.54101542422339
164,2qfo_ligand_2,20.045201994492345
165,1b0c_ligand_4,26.178819730843482
166,3ipt_ligand_6,43.11222813055424
167,6u63_ligand_7,22.72626455918248
168,2br7_ligand_7,32.33171633628503
169,6a9k_ligand_1,31.170035266457354
170,5yjm_ligand_6,19.63004768908782
171,4wh6_ligand_2,10.43831627261518
172,7rnt_ligand_1,19.593393065714427
173,1zw5_ligand_9,39.05396233845336
174,1fkw_ligand_2,6.688309263896505
175,2b7o_ligand_2,31.263944560366724
176,1a1a_ligand_2,16.45932145092865
177,5odt_ligand_3,39.78878120555503
178,2byy_ligand_6,79.35919589016343
179,2pyd_ligand_4,38.45495362356424
180,1qqn_ligand_1,30.703688411672648
181,4pm9_ligand_3,28.658797506757562
182,2yay_ligand_1,18.766065376597993
