,dock_name,rsmd
0,6dil_ligand_1,5.63340268157064
1,6dil_ligand_2,14.529502014709747
2,6dil_ligand_3,6.638678585655158
3,6dil_ligand_4,5.631414423489973
4,6dil_ligand_5,13.940070817121542
5,6dil_ligand_6,14.414464130139937
6,6dil_ligand_7,14.845786883979757
7,6dil_ligand_8,14.714514003650828
8,6dil_ligand_9,14.01579205428972
9,3d8z_ligand_1,4.936567376055282
10,3d8z_ligand_2,7.013382395463689
11,3d8z_ligand_3,7.793353805754404
12,3d8z_ligand_4,2.9728895175121015
13,3d8z_ligand_5,9.521001787714708
14,3d8z_ligand_6,6.337055996938431
15,3d8z_ligand_7,7.307877131333467
16,3d8z_ligand_8,7.565517431081631
17,3d8z_ligand_9,5.942084146156127
18,3el5_ligand_1,1.0443100220826296
19,3el5_ligand_2,1.5717840253108002
20,3el5_ligand_3,3.916817072289409
21,3el5_ligand_4,8.435335709581055
22,3el5_ligand_5,8.48522788929875
23,3el5_ligand_6,7.792307093823013
24,3el5_ligand_7,9.309732436780578
25,3el5_ligand_8,6.8014359513267495
26,3el5_ligand_9,5.569871323069822
27,6gl9_ligand_1,0.5959790554061096
28,6gl9_ligand_2,3.076834849265584
29,6gl9_ligand_3,13.76476627555621
30,6gl9_ligand_4,12.198576844635719
31,4ahs_ligand_1,3.562279513644786
32,4ahs_ligand_2,0.368113094034972
33,4ahs_ligand_3,2.3471932706958754
34,4ahs_ligand_4,3.8751386641856658
35,4ahs_ligand_5,3.685465800501569
36,4ahs_ligand_6,4.074412380945258
37,4ahs_ligand_7,2.8573027490974776
38,4ahs_ligand_8,6.4340650965518424
39,4ahs_ligand_9,5.69712418681566
40,5lvq_ligand_1,0.6498580186813453
41,5lvq_ligand_2,3.7109921255043847
42,5lvq_ligand_3,4.948061606999923
43,5lvq_ligand_4,6.281146069344705
44,5lvq_ligand_5,4.602970942771636
45,5lvq_ligand_6,5.342806222701075
46,5lvq_ligand_7,4.799662615457697
47,5lvq_ligand_8,6.691085790479416
48,5lvq_ligand_9,1.7770352494471735
49,3c4h_ligand_1,0.278794796331529
50,3c4h_ligand_2,3.4261691098413065
51,3c4h_ligand_3,4.9971268591215345
52,3c4h_ligand_4,3.828140128855505
53,3c4h_ligand_5,9.01917828851387
54,3c4h_ligand_6,7.80591017213141
55,3c4h_ligand_7,7.895995796312497
56,3c4h_ligand_8,4.375060342441005
57,3c4h_ligand_9,3.787559159223178
58,3cdb_ligand_1,6.873317770660003
59,3cdb_ligand_2,2.124558025548271
60,3cdb_ligand_3,8.304755885257885
61,5aoj_ligand_1,0.7717875715218231
62,5aoj_ligand_2,3.0769314981722364
63,5aoj_ligand_3,10.070059913757547
64,5aoj_ligand_4,10.52713058931276
65,5aoj_ligand_5,10.645198594254177
66,5aoj_ligand_6,10.793751445988452
67,5aoj_ligand_7,9.603122915084565
68,5aoj_ligand_8,9.937341733191136
69,5aoj_ligand_9,10.102109221455796
70,5e2l_ligand_1,1.5430091812213367
71,5e2l_ligand_2,2.3280507010515628
72,5e2l_ligand_3,2.242212567978336
73,5e2l_ligand_4,5.051768000743238
